parcel_id,producer_name,region,culture,type_sol,ph_sol,pluviometrie_annuelle,temperature_moy_celsius,humidite_relative_pct,teneur_matiere_organique_pct,surface_hectares,annee,rendement_kg_ha
f0db9a99-7126-477b-8d7c-26963f458e11,Alexandria Rey,Louga,Mil,Argileux,5.1,389.7,27.7,38.4,1.19,5.57,2018,503.4
9debbefe-9a1b-4913-baea-7e4fd1cb2f73,Caroline Le Besson,Louga,Mil,Sablonneux,6.8,401.8,31.0,43.1,0.58,25.52,2018,388.9
04fdee85-cc68-499f-8afd-4df963f89710,Alphonse du Breton,Louga,Mil,Ferralitique,7.1,331.3,27.5,43.2,2.25,29.67,2018,539.4
9134b650-0d4c-47ff-a2ac-edb8592c04b6,Laure Courtois,Louga,Mil,Ferralitique,7.3,476.3,29.5,50.4,0.9,8.2,2018,537.8
6edcb7fb-acb0-4aad-b9dc-97f91415b25b,Michel Le Charpentier,Louga,Arachide,Limoneux,5.3,312.4,29.1,80.8,1.45,30.38,2018,647.2
1a3d2ae5-b59a-45c6-a52a-5ce694797cf9,Marcelle de Leconte,Louga,Arachide,Ferralitique,6.6,312.9,27.1,34.7,2.93,15.01,2018,770.5
31f26c70-5dad-4723-911c-6c7ce9a92981,Marcel Marques,Louga,Arachide,Sablonneux,6.7,369.4,24.2,69.7,2.26,38.77,2018,826.0
d7138d80-227b-4d46-b643-2f0e9135c61c,Christophe Pichon,Louga,Mil,Ferralitique,7.6,212.0,26.9,68.1,1.45,18.56,2018,378.6
35306ef0-8e23-4112-81ee-8709c70149cc,Nicole Laroche,Louga,Mil,Sablonneux,7.0,269.0,28.6,66.5,2.25,8.97,2018,472.8
bee33de5-8cec-4208-9509-473ed4c3ae21,Sébastien Barthelemy,Louga,Mil,Dior,6.4,277.4,25.2,43.2,1.17,16.55,2018,448.5
5dc4b3f0-9d08-4cd7-8e7c-0b20eb46d1e4,Adrienne Moreau,Louga,Mil,Limoneux,5.7,467.3,27.5,54.1,0.58,3.78,2018,525.1
